,Cities,Current Temperature,Current Humidity,Current Wind Speed,Current Cloudiness,Latitude,Longitude,OpenWeatherMap City Number
0,butaritari,27.85,100,4.36,44,3.07,172.79,2110227
1,puerto el triunfo,29.0,51,2.1,0,13.27,-88.55,3584003
2,port macquarie,22.0,73,3.6,90,-31.43,152.91,2152659
3,moche,20.0,88,5.7,75,-8.17,-79.01,3694725
4,rikitea,26.85,100,7.88,64,-23.12,-134.97,4030556
5,atuona,27.95,98,9.81,32,-9.8,-139.03,4020109
6,mount gambier,24.83,63,1.28,0,-37.83,140.78,2156643
7,zavodouspenskoye,-17.0,70,5.0,0,56.86,65.02,1485354
8,bluff,25.63,56,7.78,64,-23.58,149.07,2175403
9,yellowknife,-12.0,72,1.68,75,62.45,-114.38,6185377
10,havre-saint-pierre,-3.0,73,9.3,90,50.23,-63.6,5972291
11,seddon,17.28,84,6.96,8,-41.67,174.07,6243926
12,bucerias,25.0,69,3.1,5,20.76,-105.33,4016734
13,arlit,20.2,26,3.73,0,18.74,7.39,2447513
14,ribeira grande,16.0,87,8.7,75,38.52,-28.7,3372707
15,busselton,19.35,100,6.06,80,-33.64,115.35,2075265
16,praxedis guerrero,22.67,9,3.1,40,31.37,-106.02,3974771
17,kuching,25.0,94,1.0,75,1.56,110.34,1735634
18,chavakkad,26.0,88,1.83,40,10.53,76.05,1274468
19,los llanos de aridane,20.0,68,1.0,0,28.66,-17.92,2514651
20,punta arenas,7.4,57,3.6,75,-53.16,-70.91,3874787
21,guane,22.35,69,3.23,8,22.2,-84.09,3557758
22,airai,23.35,87,0.81,64,-8.93,125.41,1651810
23,ponta do sol,20.28,98,1.48,56,-20.63,-46.0,3453439
24,yuxia,3.0,86,3.0,0,34.06,108.63,1785572
25,bredasdorp,17.0,67,1.5,12,-34.53,20.04,1015776
26,provideniya,-9.18,100,9.23,32,64.42,-173.23,4031574
27,bubaque,23.85,100,4.31,0,11.28,-15.83,2374583
28,poya,24.13,100,12.41,92,-21.35,165.16,2138522
29,lebu,4.73,67,0.93,0,8.96,38.73,344979
30,castro,12.15,95,4.38,92,-42.48,-73.76,3896218
31,ilheus,27.35,100,4.36,88,-14.79,-39.05,3461408
32,qidong,3.88,97,5.73,0,31.81,121.66,1806840
33,hermanus,13.1,100,1.13,64,-34.42,19.24,3366880
34,port alfred,19.25,89,8.33,12,-33.59,26.89,964432
35,saint george,9.0,57,4.1,0,39.45,22.34,262462
36,santa rosa,28.5,39,6.18,8,-36.62,-64.29,3835994
37,albany,-1.27,64,5.7,90,42.65,-73.75,5106834
38,marawi,22.9,80,1.36,0,8.0,124.29,1701054
39,barrow,24.33,27,5.33,0,-38.31,-60.23,3833859
40,jamestown,21.9,58,4.16,32,-33.21,138.6,2069194
41,vaini,15.48,87,1.11,0,15.34,74.49,1273574
42,georgetown,25.0,83,4.1,20,6.8,-58.16,3378644
43,hilo,20.51,53,4.6,40,19.71,-155.08,5855927
44,naranjal,24.0,64,2.1,0,-25.97,-55.19,3437689
45,show low,17.33,14,6.7,1,34.25,-110.03,5314245
46,kaitangata,11.98,80,4.48,80,-46.28,169.85,2208248
47,klaksvik,3.0,86,5.7,92,62.23,-6.59,2618795
48,cape town,15.0,82,1.0,0,-33.93,18.42,3369157
49,channel-port aux basques,0.2,93,15.43,92,47.57,-59.14,5919815
50,kavieng,25.73,100,1.38,88,-2.57,150.8,2094342
51,almeirim,15.58,93,8.2,75,39.21,-8.63,2271926
52,san cristobal,14.0,76,7.7,40,-0.39,-78.55,3652462
53,hun,3.62,93,3.6,56,50.34,4.87,2790471
54,pochutla,28.0,100,5.1,20,15.74,-96.47,3517970
55,arroio grande,20.78,100,4.41,0,-32.24,-53.09,3471422
56,tanout,22.23,23,2.26,0,14.97,8.88,2439155
57,calabozo,30.45,46,6.08,0,8.92,-67.43,3647444
58,samus,-13.15,74,4.21,48,56.74,84.7,1493110
59,alugan,25.75,100,4.28,88,12.22,125.48,1731248
60,lingao,15.58,83,6.01,32,19.91,109.69,1803560
61,flinders,22.0,60,3.1,75,-34.58,150.85,6255012
62,port elizabeth,2.5,55,2.6,1,39.31,-74.98,4501427
63,yumen,-1.8,59,4.43,8,40.29,97.04,1528998
64,sibolga,20.58,99,0.83,44,1.74,98.78,1213855
65,new norfolk,21.0,60,3.1,75,-42.78,147.06,2155415
66,kapaa,22.0,64,10.8,90,22.08,-159.32,5848280
67,ushuaia,7.0,65,3.1,40,-54.81,-68.31,3833367
68,bathsheba,26.0,83,8.2,75,13.22,-59.52,3374083
69,kahului,21.33,73,8.2,75,20.89,-156.47,5847411
70,mataura,13.48,74,3.91,76,-46.19,168.86,6201424
71,hobart,21.0,60,3.1,75,-42.88,147.33,2163355
72,leshukonskoye,-11.6,84,2.86,44,64.9,45.76,535839
73,walvis bay,15.0,82,4.66,0,-22.95,14.51,3359638
